body_part,equipment,name,target,secondary_muscles_full,difficulty,sets,reps
waist,body weight,3/4 sit-up,abdominals,"hip flexors, lower back",beginner,2,12-15
waist,body weight,45° side bend,abdominals,obliques,beginner,2,10-12
waist,body weight,air bike,abdominals,hip flexors,beginner,3,10-12
upper legs,body weight,all fours squad stretch,quadriceps,"hamstrings, glutes",beginner,3,12-15
waist,body weight,alternate heel touchers,abdominals,obliques,beginner,2,12-15
back,cable,alternate lateral pulldown,lats,"biceps, rhomboids",advanced,5,10-12
lower legs,body weight,ankle circles,calves,ankle stabilizers,beginner,3,10-12
back,body weight,archer pull up,lats,"biceps, forearms",beginner,2,12-15
chest,body weight,archer push up,pectorals,"triceps, shoulders",beginner,2,12-15
waist,body weight,arm slingers hanging bent knee legs,abdominals,"shoulders, back",beginner,3,12-15
waist,body weight,arm slingers hanging straight legs,abdominals,"shoulders, back",beginner,3,12-15
upper legs,body weight,arms apart circular toe touch (male),glutes,"hamstrings, quadriceps",beginner,2,12-15
waist,body weight,arms overhead full sit-up (male),abdominals,"hip flexors, lower back",beginner,3,10-12
chest,leverage machine,assisted chest dip (kneeling),pectorals,"triceps, shoulders",advanced,4,8-10
waist,assisted,assisted hanging knee raise,abdominals,hip flexors,beginner,3,12-15
waist,assisted,assisted hanging knee raise with throw down,abdominals,"hip flexors, lower back",beginner,3,12-15
lower legs,assisted,assisted lying calves stretch,calves,hamstrings,beginner,2,12-15
upper legs,assisted,assisted lying glutes stretch,glutes,hamstrings,beginner,2,12-15
upper legs,assisted,assisted lying gluteus and piriformis stretch,glutes,hamstrings,beginner,3,12-15
waist,assisted,assisted lying leg raise with lateral throw down,abdominals,"hip flexors, obliques",beginner,2,10-12
waist,assisted,assisted lying leg raise with throw down,abdominals,"hip flexors, quadriceps",beginner,2,10-12
waist,medicine ball,assisted motion russian twist,abdominals,"obliques, lower back",beginner,2,10-12
back,leverage machine,assisted parallel close grip pull-up,lats,"biceps, forearms",advanced,5,8-10
upper legs,assisted,assisted prone hamstring,hamstrings,"glutes, lower back",beginner,3,12-15
upper legs,assisted,assisted prone lying quads stretch,quadriceps,"hamstrings, glutes",beginner,2,10-12
waist,assisted,assisted prone rectus femoris stretch,abdominals,quadriceps,beginner,2,10-12
back,leverage machine,assisted pull-up,lats,"biceps, forearms",advanced,5,10-12
chest,assisted,assisted seated pectoralis major stretch with stability ball,pectorals,"shoulders, triceps",beginner,2,12-15
upper legs,assisted,assisted side lying adductor stretch,adductors,"hamstrings, glutes",beginner,2,12-15
waist,assisted,assisted sit-up,abdominals,hip flexors,beginner,2,12-15
back,leverage machine,assisted standing chin-up,lats,"biceps, forearms",advanced,4,8-10
